facesAreFearful,imgNorth,ITI,imgSouth,targetDimension,imgWest,correctResponse,attendedItemsMatch,nonAttendedItemsMatch,imgEast,facesAreAttended,TrialsInRun.thisRepN,TrialsInRun.thisTrialN,TrialsInRun.thisN,TrialsInRun.thisIndex,CueOnset,FixOnset,ImageOnset,SameDiffResponse.keys,SameDiffResponse.rt,PressedKeys,PressedKeyTimes,expName,run,responseKeyDIFFERENT,CB,frameRate,group,runMode,session,RunNumber,date,participant,responseKeySAME,
1,stimuli/Faces/F06.pict.jpg,2.15,stimuli/Faces/F06.pict.jpg,WE,stimuli/Houses/H09.pict.jpg,IDENTICAL,1,1,stimuli/Houses/H09.pict.jpg,0,0,0,0,0,5.00505399704,8.19988203049,9.20517301559,2,0.82471704483,['2'],['0.824698925018'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
1,stimuli/Faces/F10.pict.jpg,9.68,stimuli/Faces/F04.pict.jpg,WE,stimuli/Houses/H20.pict.jpg,DIFFERENT,0,0,stimuli/Houses/H04.pict.jpg,0,0,1,1,1,5.00505399704,13.5594379902,14.5604190826,1,0.787897825241,['1'],['0.787858963013'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
1,stimuli/Faces/F09.pict.jpg,4.66,stimuli/Faces/F09.pict.jpg,WE,stimuli/Houses/H03.pict.jpg,DIFFERENT,0,1,stimuli/Houses/H05.pict.jpg,0,0,2,2,2,5.00505399704,26.4521610737,27.4618079662,2,1.42939996719,['2'],['1.42930412292'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
0,stimuli/Faces/N08.pict.jpg,4.66,stimuli/Faces/N08.pict.jpg,WE,stimuli/Houses/H16.pict.jpg,IDENTICAL,1,1,stimuli/Houses/H16.pict.jpg,0,0,3,3,3,5.00505399704,34.3263609409,35.3310351372,2,1.40139317513,['2'],['1.40135002136'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
1,stimuli/Houses/H17.pict.jpg,2.15,stimuli/Houses/H07.pict.jpg,WE,stimuli/Faces/F01.pict.jpg,DIFFERENT,0,0,stimuli/Faces/F08.pict.jpg,1,0,4,4,4,5.00505399704,42.1986029148,43.2055110931,2,1.50491809845,['2'],['1.50487804413'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
1,stimuli/Houses/H08.pict.jpg,2.15,stimuli/Houses/H02.pict.jpg,WE,stimuli/Faces/F05.pict.jpg,IDENTICAL,1,0,stimuli/Faces/F05.pict.jpg,1,0,5,5,5,5.00505399704,47.5591750145,48.5659570694,1,1.44818711281,['1'],['1.4481048584'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
0,stimuli/Faces/N01.pict.jpg,12.19,stimuli/Faces/N03.pict.jpg,WE,stimuli/Houses/H15.pict.jpg,IDENTICAL,1,0,stimuli/Houses/H15.pict.jpg,0,0,6,6,6,5.00505399704,52.9195370674,53.9182801247,1,1.41585588455,['1'],['1.41578698158'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
0,stimuli/Houses/H01.pict.jpg,7.17,stimuli/Houses/H01.pict.jpg,WE,stimuli/Faces/N05.pict.jpg,IDENTICAL,1,1,stimuli/Faces/N05.pict.jpg,1,0,7,7,7,5.00505399704,68.327698946,69.3325839043,1,1.03604602814,['1'],['1.03596901894'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
0,stimuli/Houses/H12.pict.jpg,2.15,stimuli/Houses/H12.pict.jpg,WE,stimuli/Faces/N07.pict.jpg,DIFFERENT,0,1,stimuli/Faces/N10.pict.jpg,1,0,8,8,8,5.00505399704,78.7049500942,79.7083909512,2,2.15378379822,['2'],['2.15372896194'],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
1,stimuli/Houses/H11.pict.jpg,7.17,stimuli/Houses/H11.pict.jpg,WE,stimuli/Faces/F02.pict.jpg,IDENTICAL,1,1,stimuli/Faces/F02.pict.jpg,1,0,9,9,9,5.00505399704,84.0756380558,85.0849380493,None,,[],[],conflict,A,['2'],1,60.6766533334,HC,Scanner,ABCD,1,2016_Sep_22_1251,asdf,['1'],
