trial_blocks,trial,trial_card,trial_image,trial_feedback_text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,current_trial.thisRepN,current_trial.thisTrialN,current_trial.thisN,current_trial.thisIndex,instructions_key_resp.keys,instructions_key_resp.rt,triger_key_resp.keys,triger_key_resp.rt,trial_sign_key_reso.keys,allPressedKeys,allPressedKeysTime,MoneyEarned,trial_sign_key_reso.rt,Question,Answer,Possible Answers,Possible Inputs,expName,run,CB,frameRate,group,runMode,session,date,participant,
,,,,,,,,,,,,,space,1.20874355556,,,,,,,,,,,,Gambling,AB,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
,,,,,,,,,,,,,,,equal,0.443156444468,,,,,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,loss,loose,negative.png,$-0.50,0,0,0,0,0,0,0,0,,,,,None,[],[],$0.0,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,reward,win,positive.png,$1,0,0,0,0,0,1,1,1,,,,,1,['1'],[0.5841924444248434],$1.0,0.578279555542,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,loss,loose,negative.png,$-0.50,0,0,0,0,0,2,2,2,,,,,None,[],[],$1.0,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,loss,loose,negative.png,$-0.50,0,0,0,0,0,3,3,3,,,,,1,['1'],[0.3167417777585797],$0.5,0.310928444436,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,loss,loose,negative.png,$-0.50,0,0,0,0,0,4,4,4,,,,,1,['1'],[0.45252755557885394],$0.0,0.445924444444,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,reward,win,positive.png,$1,0,0,0,0,0,5,5,5,,,,,1,['1'],[0.5189084444427863],$1.0,0.513115999987,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,loss,loose,negative.png,$-0.50,0,0,0,0,0,6,6,6,,,,,1,['1'],[0.335691999993287],$0.5,0.329583111103,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,loss,loose,negative.png,$-0.50,0,0,0,0,0,7,7,7,,,,,1,['1'],[0.4647653333377093],$0.0,0.460737333342,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rr.csv,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,reward,win,positive.png,$1,0,1,1,1,0,0,0,0,,,,,1,['1'],[0.3856408889114391],$1.0,0.379339555569,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,loss,loose,negative.png,$-0.50,0,1,1,1,0,1,1,1,,,,,1,['1'],[0.32099288888275623],$0.5,0.314955999987,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,reward,win,positive.png,$1,0,1,1,1,0,2,2,2,,,,,None,[],[],$0.5,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,reward,win,positive.png,$1,0,1,1,1,0,3,3,3,,,,,1,['1'],[0.35317244444740936],$1.5,0.347105333349,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,reward,win,positive.png,$1,0,1,1,1,0,4,4,4,,,,,None,[],[],$1.5,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,reward,win,positive.png,$1,0,1,1,1,0,5,5,5,,,,,1,['1'],[0.41952622222015634],$2.5,0.4136328889,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,reward,win,positive.png,$1,0,1,1,1,0,6,6,6,,,,,None,[],[],$2.5,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,loss,loose,negative.png,$-0.50,0,1,1,1,0,7,7,7,,,,,1,['1'],[0.31912888889200985],$2.0,0.313310666679,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_ll.csv,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,neutral,even,neutral.png, ,0,2,2,2,0,0,0,0,,,,,1,['1'],[0.7360608889139257],$2.0,0.729676444462,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,reward,win,positive.png,$1,0,2,2,2,0,1,1,1,,,,,1,['1'],[0.6193591110932175],$3.0,0.612244888878,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,reward,win,positive.png,$1,0,2,2,2,0,2,2,2,,,,,1,['1'],[0.7033991111093201],$4.0,0.696460444451,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,reward,win,positive.png,$1,0,2,2,2,0,3,3,3,,,,,1,['1'],[1.304524000006495],$5.0,1.29795555555,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,reward,win,positive.png,$1,0,2,2,2,0,4,4,4,,,,,1,['1'],[0.4693702222139109],$6.0,0.463643555559,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,reward,win,positive.png,$1,0,2,2,2,0,5,5,5,,,,,None,[],[],$6.0,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,reward,win,positive.png,$1,0,2,2,2,0,6,6,6,,,,,1,['1'],[0.2534893333213404],$7.0,0.246675555565,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,loss,loose,negative.png,$-0.50,0,2,2,2,0,7,7,7,,,,,1,['1'],[0.4355684444599319],$6.5,0.429578666692,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nl.csv,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,loss,loose,negative.png,$-0.50,0,3,3,3,0,0,0,0,,,,,None,[],[],$6.5,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,loss,loose,negative.png,$-0.50,0,3,3,3,0,1,1,1,,,,,None,[],[],$6.5,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,neutral,even,neutral.png, ,0,3,3,3,0,2,2,2,,,,,None,[],[],$6.5,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,loss,loose,negative.png,$-0.50,0,3,3,3,0,3,3,3,,,,,None,[],[],$6.5,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,loss,loose,negative.png,$-0.50,0,3,3,3,0,4,4,4,,,,,1,['1'],[0.68869644444203],$6.0,0.680498222238,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,loss,loose,negative.png,$-0.50,0,3,3,3,0,5,5,5,,,,,1,['1'],[0.31967022220487706],$5.5,0.312939999974,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,reward,win,positive.png,$1,0,3,3,3,0,6,6,6,,,,,1,['1'],[0.30458133335923776],$6.5,0.297141777788,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,loss,loose,negative.png,$-0.50,0,3,3,3,0,7,7,7,,,,,1,['1'],[0.4371471111080609],$6.0,0.429990222212,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_rn.csv,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,Gambling,A,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
,,,,,,,,,,,,,,,equal,0.340991999983,,,,,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,reward,win,positive.png,$1,0,0,0,0,0,0,0,0,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,reward,win,positive.png,$1,0,0,0,0,0,1,1,1,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,neutral,even,neutral.png, ,0,0,0,0,0,2,2,2,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,reward,win,positive.png,$1,0,0,0,0,0,3,3,3,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,reward,win,positive.png,$1,0,0,0,0,0,4,4,4,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,reward,win,positive.png,$1,0,0,0,0,0,5,5,5,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,reward,win,positive.png,$1,0,0,0,0,0,6,6,6,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,neutral,even,neutral.png, ,0,0,0,0,0,7,7,7,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
reward_nn.csv,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_nn.csv,neutral,even,neutral.png, ,0,1,1,1,0,0,0,0,,,,,None,[],[],$6.0,,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_nn.csv,loss,loose,negative.png,$-0.50,0,1,1,1,0,1,1,1,,,,,1,['1'],[0.18623688889783807],$5.5,0.179301333352,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
loss_nn.csv,loss,loose,negative.png,$-0.50,0,1,1,1,0,2,2,2,,,,,1,['1'],[0.3681919999944512],$5.0,0.361518222227,,,,,Gambling,B,1,59.909576473,HC,Scanner,ABCD,2016_Oct_03_1216,vivi,
